"order_id","order_item_id","product_id","seller_id","shipping_limit_date","price","freight_value"
"00010242fe8c5a6d1ba2dd792cb16214",1,"4244733e06e7ecb4970a6e2683c13e61","48436dade18ac8b2bce089ec2a041202",2017-09-19 09:45:35,58.90,13.29
"00018f77f2f0320c557190d7a144bdd3",1,e5f2d52b802189ee658865ca93d83a8f,dd7ddc04e1b6c2c614352b383efe2d36,2017-05-03 11:05:13,239.90,19.93
"000229ec398224ef6ca0657da4fc703e",1,c777355d18b72b67abbeef9df44fd0fd,"5b51032eddd242adc84c38acab88f23d",2018-01-18 14:48:30,199.00,17.87
"00024acbcdf0a6daa1e931b038114c75",1,"7634da152a4610f1595efa32f14722fc","9d7a1d34a5052409006425275ba1c2b4",2018-08-15 10:10:18,12.99,12.79
"00042b26cf59d7ce69dfabb4e55b4fd9",1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2017-02-13 13:57:51,199.90,18.14
"00048cc3ae777c65dbb7d2a0634bc1ea",1,ef92defde845ab8450f9d70c526ef70f,"6426d21aca402a131fc0a5d0960a3c90",2017-05-23 03:55:27,21.90,12.69
"00054e8431b9d7675808bcb819fb4a32",1,"8d4f2bb7e93e6710a28f34fa83ee7d28","7040e82f899a04d1b434b795a43b4617",2017-12-14 12:10:31,19.90,11.85
"000576fe39319847cbb9d288c5617fa6",1,"557d850972a7d6f792fd18ae1400d9b6","5996cddab893a4652a15592fb58ab8db",2018-07-10 12:30:45,810.00,70.75
"0005a1a1728c9d785b8e2b08b904576c",1,"310ae3c140ff94b03219ad0adc3c778f",a416b6a846a11724393025641d4edd5e,2018-03-26 18:31:29,145.95,11.65
"0005f50442cb953dcd1d21e1fb923495",1,"4535b0e1091c278dfd193e5a1d63b39f",ba143b05f0110f0dc71ad71b4466ce92,2018-07-06 14:10:56,53.99,11.40
"00061f2a7bc09da83e415a52dc8a4af1",1,d63c1011f49d98b976c352955b1c4bea,cc419e0650a3c5ba77189a1882b7556a,2018-03-29 22:28:09,59.99,8.88
"00063b381e2406b52ad429470734ebd5",1,f177554ea93259a5b282f24e33f65ab6,"8602a61d680a10a82cceeeda0d99ea3d",2018-07-31 17:30:39,45.00,12.98
"0006ec9db01a64e59a68b2c340bf65a7",1,"99a4788cb24856965c36a24e339b6058","4a3ca9315b744ce9f8e9374361493884",2018-07-26 17:24:20,74.00,23.32
"0008288aa423d2a3f00fcb17cd7d8719",1,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100",2018-02-21 02:55:52,49.90,13.37
"0008288aa423d2a3f00fcb17cd7d8719",2,"368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100",2018-02-21 02:55:52,49.90,13.37
"0009792311464db532ff765bf7b182ae",1,"8cab8abac59158715e0d70a36c807415","530ec6109d11eaaf87999465c6afee01",2018-08-17 12:15:10,99.90,27.65
"0009c9a17f916a706d71784483a5d643",1,"3f27ac8e699df3d300ec4a5d8c5cf0b2",fcb5ace8bcc92f75707dc0f01a27d269,2018-05-02 09:31:53,639.00,11.34
"000aed2e25dbad2f9ddb70584c5a2ded",1,"4fa33915031a8cde03dd0d3e8fb27f01",fe2032dab1a61af8794248c8196565c9,2018-05-16 20:57:03,144.00,8.77
"000c3e6612759851cc3cbb4b83257986",1,b50c950aba0dcead2c48032a690ce817,"218d46b86c1881d022bce9c68a7d4b15",2017-08-21 03:33:13,99.00,13.71
"000e562887b1f2006d75e0be9558292e",1,"5ed9eaf534f6936b51d0b6c5e4d5c2e9","8cbac7e12637ed9cffa18c7875207478",2018-02-28 12:08:37,25.00,16.11
"000e63d38ae8c00bbcb5a30573b99628",1,"553e0e7590d3116a072507a3635d2877","1c129092bf23f28a5930387c980c0dfc",2018-03-29 20:07:49,47.90,8.88
"000e906b789b55f64edcb1f84030f90d",1,"57d79905de06d8897872c551bfd09358",ea8482cd71df3c1969d7b9473ff13abc,2017-11-27 19:09:02,21.99,11.85
"000f25f4d72195062c040b12dce9a18a",1,"1c05e0964302b6cf68ca0d15f326c6ba","7c67e1448b00f6e969d365cea6b010ab",2018-03-21 11:10:11,119.99,44.40
"001021efaa8636c29475e7734483457d",1,"5d7c23067ed3fc8c6e699b9373d5890b","6560211a19b47992c3666cc44a7e94c0",2018-03-05 09:35:41,49.00,15.10
"0010b2e5201cc5f1ae7e9c6cc8f5bd00",1,"5a419dbf24a8c9718fe522b81c69f61a","3504c0cb71d7fa48d967e0e4c94d59d9",2017-09-15 18:04:37,48.90,16.60
"00119ff934e539cf26f92b9ef0cdfed8",1,"21b1c2f67a9aafb5af0eb06c13b9dbda",c864036feaab8c1659f65ea4faebe1da,2017-08-11 00:35:12,219.90,16.98
"0011d82c4b53e22e84023405fb467e57",1,c389f712c4b4510bc997cee93e8b1a28,bfd27a966d91cfaafdb25d076585f0da,2018-01-29 21:51:25,289.00,26.33
"00125cb692d04887809806618a2a145f",1,"1c0c0093a48f13ba70d0c6b0a9157cb7","41b39e28db005d9731d9d485a83b4c38",2017-03-29 13:05:42,109.90,25.51
"00130c0eee84a3d909e75bc08c5c3ca1",1,"89321f94e35fc6d7903d36f74e351d40","16090f2ca825584b5a147ab24aa30c86",2018-06-14 05:16:24,27.90,7.94
"0013503b13da1eac686219390b7d641b",1,"38afdf723b95d455b418a0f57d623c6b","1554a68530182680ad5c8b042c3ab563",2017-12-13 03:16:36,119.90,17.32
"00137e170939bba5a3134e2386413108",1,"672e757f331900b9deea127a2a7b79fd",e59aa562b9f8076dd550fcddf0e73491,2017-11-30 06:30:55,397.00,24.65
"001427c0ec99cf8af737bd88e92fd444",1,"28b4eced95a52d9c437a4caf9d311b95","77530e9772f57a62c906e1c21538ab82",2018-04-12 19:08:28,59.90,23.35
"00143d0f86d6fbd9f9b38ab440ac16f5",1,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
"00143d0f86d6fbd9f9b38ab440ac16f5",2,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
"00143d0f86d6fbd9f9b38ab440ac16f5",3,e95ee6822b66ac6058e2e4aff656071a,a17f621c590ea0fab3d5d883e1630ec6,2017-10-20 16:07:52,21.33,15.10
"0014ae671de39511f7575066200733b7",1,"23365beed316535b4105bd800c46670e","92eb0f42c21942b6552362b9b114707d",2017-05-29 03:15:24,16.50,14.10
"0015ebb40fb17286bea51d4607c4733c",1,"50fd2b788dc166edd20512370dac54df","8b321bb669392f5163d04c59e235e066",2018-01-18 09:11:24,21.90,15.10
"00169e31ef4b29deaae414f9a5e95929",1,b10eba910a974df70b8a12d0665cdb9e,a3e9a2c700480d9bb01fba070ba80a0e,2018-01-23 03:35:47,39.00,16.11
"0016dfedd97fc2950e388d2971d718c7",1,"4089861a1bd4685da70bddd6b4f974f1",a35124e2d763d7ca3fbe3b97d143200f,2017-05-05 10:05:12,49.75,20.80
"0017afd5076e074a48f1f1a4c7bac9c5",1,fe59a1e006df3ac42bf0ceb876d70969,"25c5c91f63607446a97b143d2d535d31",2017-04-24 22:25:19,809.10,44.29